# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "2" "-p" "-F" "GFF" "-t" "gene" "-g" "ID" "-a" "analyses/03_annotation/augustus_chr3/augustus_chr3.gff" "-o" "analyses/06_counts/featurecounts_chr3.txt" "analyses/05_expression/mapping/control/Control_1.sorted.bam" "analyses/05_expression/mapping/control/Control_2.sorted.bam" "analyses/05_expression/mapping/control/Control_3.sorted.bam" "analyses/05_expression/mapping/heat_treated/Heat_1.sorted.bam" "analyses/05_expression/mapping/heat_treated/Heat_2.sorted.bam" "analyses/05_expression/mapping/heat_treated/Heat_3.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	analyses/05_expression/mapping/control/Control_1.sorted.bam	analyses/05_expression/mapping/control/Control_2.sorted.bam	analyses/05_expression/mapping/control/Control_3.sorted.bam	analyses/05_expression/mapping/heat_treated/Heat_1.sorted.bam	analyses/05_expression/mapping/heat_treated/Heat_2.sorted.bam	analyses/05_expression/mapping/heat_treated/Heat_3.sorted.bam
g699	contig_105_pilon	422480	431971	+	9492	0	0	0	0	4	0
g700	contig_106_pilon	587	1311	-	725	0	0	0	0	0	0
g701	contig_106_pilon	2551	7751	-	5201	3824	5384	4259	1576	1255	1779
g702	contig_106_pilon	8636	12346	+	3711	1159	1512	1285	405	277	474
g703	contig_106_pilon	17734	21341	-	3608	0	0	0	0	0	0
g704	contig_106_pilon	22426	24608	+	2183	0	0	0	0	0	0
g705	contig_106_pilon	27900	28801	-	902	0	0	0	0	0	0
g706	contig_106_pilon	41051	41731	-	681	0	0	0	0	0	0
g707	contig_106_pilon	56676	58626	+	1951	6	14	25	57	9	52
g708	contig_106_pilon	58665	62071	-	3407	2021	2203	1780	738	378	594
g709	contig_106_pilon	62466	64581	+	2116	429	461	588	155	91	149
g710	contig_106_pilon	69266	70222	+	957	0	0	0	0	0	0
g711	contig_106_pilon	74996	75621	+	626	0	0	0	0	0	0
g712	contig_106_pilon	82447	83371	-	925	243	190	234	297	190	339
g713	contig_106_pilon	83936	85450	+	1515	957	1081	1206	1868	957	1520
g714	contig_106_pilon	86305	91721	-	5417	1700	2172	2635	921	394	914
g715	contig_106_pilon	92426	95606	+	3181	0	0	0	0	0	0
g716	contig_106_pilon	100026	107516	+	7491	623	1163	933	710	342	424
g717	contig_106_pilon	107527	112501	-	4975	1341	766	913	1637	1138	2177
g718	contig_106_pilon	113326	115540	+	2215	33817	15394	25696	19677	17374	18560
g719	contig_106_pilon	118906	122717	+	3812	66	28	35	87	83	251
g720	contig_106_pilon	126426	127177	+	752	0	0	0	0	0	0
g721	contig_106_pilon	127429	129871	-	2443	385	433	427	1118	732	941
g722	contig_106_pilon	130336	131450	+	1115	50	39	72	109	60	39
g723	contig_106_pilon	135316	137088	+	1773	4	11	0	5	0	0
g724	contig_106_pilon	138068	146421	-	8354	300	349	430	304	232	439
g725	contig_106_pilon	146550	147851	-	1302	592	557	424	1035	1021	809
g726	contig_106_pilon	147976	148799	+	824	34	10	44	61	24	9
g727	contig_106_pilon	156656	158331	+	1676	879	6363	2733	1999	5124	2678
g728	contig_106_pilon	159019	162651	-	3633	4	34	12	2	4	20
g729	contig_106_pilon	170558	179776	+	9219	1166	1477	1276	1313	1185	2416
g730	contig_106_pilon	185628	189913	+	4286	0	0	0	0	0	0
g731	contig_106_pilon	192786	196643	-	3858	0	0	0	0	0	2
g732	contig_106_pilon	198460	199403	-	944	0	0	0	0	0	0
g733	contig_106_pilon	204010	209763	-	5754	25	95	137	1126	134	142
g734	contig_106_pilon	216548	222786	+	6239	0	0	0	0	0	0
g735	contig_106_pilon	225218	227467	+	2250	0	0	0	0	0	0
g736	contig_106_pilon	235147	239463	-	4317	2544	2432	2754	1314	682	1482
g737	contig_106_pilon	243839	246863	-	3025	0	0	0	0	0	0
g738	contig_106_pilon	247223	250513	-	3291	0	0	0	0	0	0
g739	contig_106_pilon	251418	254920	+	3503	0	0	0	0	0	0
g740	contig_106_pilon	257941	262633	-	4693	0	0	0	0	0	0
g741	contig_106_pilon	264278	274851	+	10574	0	0	0	4	0	0
g742	contig_106_pilon	285680	292133	-	6454	1160	1918	1555	1303	830	1156
g743	contig_106_pilon	294053	316143	-	22091	2	15	7	11	3	6
g744	contig_106_pilon	316698	327536	+	10839	0	0	0	3	0	0
g745	contig_106_pilon	330685	339613	+	8929	0	0	0	0	0	0
g746	contig_106_pilon	340598	343300	-	2703	0	0	0	0	0	0
g747	contig_106_pilon	343395	351122	+	7728	0	0	1	15	0	0
g748	contig_106_pilon	352015	357294	+	5280	0	0	0	0	0	0
g749	contig_106_pilon	358405	366650	+	8246	0	0	0	0	0	0
g750	contig_106_pilon	368027	370820	-	2794	0	0	0	0	0	0
g751	contig_108_pilon	1776	11885	+	10110	8833	14064	15913	18570	13633	15131
g752	contig_108_pilon	12878	16391	-	3514	503	308	253	46	21	143
g753	contig_108_pilon	16506	20379	+	3874	245	1073	1269	288	54	263
g754	contig_108_pilon	20506	28075	+	7570	585	738	842	758	831	1002
g755	contig_108_pilon	28174	30791	-	2618	1729	1088	1457	530	356	324
g756	contig_108_pilon	31036	32685	+	1650	33	30	26	9	9	0
g757	contig_108_pilon	33022	34171	-	1150	0	0	0	2	0	0
g758	contig_108_pilon	38046	39994	+	1949	0	0	4	2	0	6
g759	contig_108_pilon	40029	47911	-	7883	73	126	70	8	59	129
g760	contig_108_pilon	48016	49110	+	1095	0	0	0	10	0	0
g761	contig_108_pilon	49196	51731	-	2536	648	2114	2177	2842	5909	5060
g762	contig_108_pilon	52146	55494	+	3349	67	338	187	118	100	297
g763	contig_108_pilon	56020	63541	-	7522	188	638	546	183	225	303
g764	contig_108_pilon	66555	69571	-	3017	0	0	0	0	0	0
g765	contig_109_pilon	2189	7611	-	5423	388	670	426	78	146	276
g766	contig_109_pilon	7796	9308	+	1513	21	62	44	4	18	65
g767	contig_109_pilon	10446	13940	+	3495	0	0	0	0	0	0
g768	contig_109_pilon	16826	23041	-	6216	0	0	0	0	0	0
g769	contig_109_pilon	23246	31601	+	8356	0	0	0	0	0	0
g770	contig_109_pilon	37886	45857	+	7972	4063	3945	4421	8565	5261	5607
g771	contig_109_pilon	48316	49275	+	960	5	10	16	264	501	10
g772	contig_109_pilon	50054	52981	-	2928	0	5	2	78	34	29
g773	contig_109_pilon	53106	55249	+	2144	690	1181	1099	1316	1069	1869
g774	contig_109_pilon	57656	69189	+	11534	1568	1214	1141	1314	498	1745
g775	contig_109_pilon	76387	81771	-	5385	548	2180	2002	197	115	431
g776	contig_109_pilon	82676	85032	+	2357	0	0	0	0	0	0
g777	contig_109_pilon	92596	105661	-	13066	3553	5713	5128	5491	2884	3992
g778	contig_109_pilon	111288	113261	-	1974	370	780	621	254	105	555
g779	contig_109_pilon	113496	124881	+	11386	2485	2025	1880	4899	5362	4299
g780	contig_109_pilon	125426	126390	+	965	0	0	0	7	17	16
g781	contig_109_pilon	127230	130511	-	3282	2848	1681	1939	7665	8205	5708
g782	contig_109_pilon	130606	131648	+	1043	210	134	192	574	537	406
g783	contig_109_pilon	136303	137381	-	1079	0	0	0	0	0	0
g784	contig_109_pilon	141166	142503	+	1338	0	0	0	0	0	0
g785	contig_109_pilon	151614	157861	-	6248	0	0	0	0	0	0
g786	contig_109_pilon	160132	165721	-	5590	2306	1628	1199	758	316	1716
g787	contig_109_pilon	165866	166588	+	723	492	332	295	155	49	334
g788	contig_109_pilon	166636	170973	+	4338	108	176	131	56	10	151
g789	contig_109_pilon	180762	190048	-	9287	0	6	2	0	0	0
g790	contig_109_pilon	191153	194234	+	3082	383	444	372	312	94	411
g791	contig_109_pilon	196793	202111	+	5319	127	126	82	344	109	263
g792	contig_109_pilon	216573	217708	-	1136	0	0	0	0	0	2
g793	contig_109_pilon	226206	226948	-	743	0	0	0	0	1	0
g794	contig_109_pilon	229420	230818	-	1399	68	138	237	144	135	77
g795	contig_109_pilon	231063	238779	+	7717	2182	3074	4160	4764	3817	3586
g796	contig_109_pilon	239169	247958	-	8790	2455	3662	2991	3738	1808	3786
g797	contig_109_pilon	248833	249611	+	779	0	0	0	0	0	0
g798	contig_109_pilon	250669	257998	-	7330	0	0	0	0	0	0
g799	contig_109_pilon	258183	261992	+	3810	0	0	0	0	0	0
g800	contig_109_pilon	270103	272033	+	1931	0	0	0	1	0	0
g801	contig_109_pilon	272161	282448	-	10288	0	0	0	2	0	0
g802	contig_109_pilon	285623	289986	+	4364	0	0	0	0	0	0
g803	contig_109_pilon	290110	291028	-	919	0	0	0	0	0	0
g804	contig_109_pilon	291084	291748	-	665	0	0	0	0	0	0
g805	contig_109_pilon	291993	294852	+	2860	0	0	0	0	0	0
g806	contig_109_pilon	298333	300177	+	1845	0	0	0	0	0	0
g807	contig_109_pilon	300263	301887	+	1625	0	0	0	0	0	0
g808	contig_109_pilon	302527	306668	-	4142	3	0	1	1	0	0
g809	contig_109_pilon	307023	311899	+	4877	0	0	0	7	0	0
g810	contig_109_pilon	313332	323258	-	9927	0	0	0	0	0	0
g811	contig_109_pilon	326893	332810	+	5918	0	0	0	2	0	0
g812	contig_109_pilon	332948	333778	-	831	0	0	0	0	0	0
g813	contig_109_pilon	334460	337348	-	2889	0	0	0	1	0	0
g814	contig_109_pilon	354046	355700	-	1655	0	0	0	0	0	0
g815	contig_109_pilon	357526	360200	-	2675	20	85	94	92	41	84
g816	contig_109_pilon	360365	367041	+	6677	43	101	190	259	114	46
g817	contig_109_pilon	367629	370520	-	2892	24	77	56	153	55	111
g818	contig_109_pilon	370685	373629	+	2945	187	255	210	222	140	183
g819	contig_109_pilon	374116	383130	-	9015	6791	9401	11941	3536	3725	5541
g820	contig_109_pilon	383295	385572	+	2278	12	4	291	5	1	4
g821	contig_11_pilon	1	621	-	621	16	30	21	11	5	29
g822	contig_11_pilon	6926	14386	+	7461	491	465	667	1280	711	618
g823	contig_11_pilon	15101	23101	-	8001	2621	3795	4249	1401	534	1131
g824	contig_11_pilon	23806	28467	+	4662	2	14	2	4	18	0
g825	contig_11_pilon	28575	31161	-	2587	0	0	2	0	0	0
g826	contig_11_pilon	32167	39971	-	7805	0	0	0	0	0	0
g827	contig_11_pilon	40086	48106	+	8021	0	0	0	0	0	0
g828	contig_11_pilon	51486	56810	+	5325	30	63	24	46	52	124
g829	contig_11_pilon	56904	67231	-	10328	1370	3824	2882	2233	1193	1623
g830	contig_11_pilon	72756	74020	+	1265	208	152	199	138	121	135
g831	contig_11_pilon	74116	77078	+	2963	1888	1893	1929	1229	1036	1745
g832	contig_11_pilon	77175	79061	-	1887	32	33	68	1688	1543	1015
g833	contig_11_pilon	80527	81581	-	1055	119	136	121	38	13	56
g834	contig_11_pilon	81996	84121	-	2126	140	241	150	119	24	96
g835	contig_11_pilon	84226	85385	+	1160	14	48	88	61	23	73
g836	contig_11_pilon	87536	88770	+	1235	3	2	0	247	190	66
g837	contig_11_pilon	88907	91281	-	2375	7240	3231	4350	8625	13200	7026
g838	contig_11_pilon	91406	100200	+	8795	1026	287	344	851	550	756
g839	contig_11_pilon	103686	107326	+	3641	0	0	0	0	0	0
g840	contig_11_pilon	107664	112561	-	4898	1300	1431	1504	1572	580	1719
g841	contig_11_pilon	117076	117879	+	804	0	0	0	0	0	4
g842	contig_11_pilon	118027	119121	-	1095	164	124	265	391	209	347
g843	contig_11_pilon	119236	129849	+	10614	2591	3325	2912	7560	5034	5636
g844	contig_11_pilon	129987	131511	-	1525	5	1	20	13	6	31
g845	contig_11_pilon	133115	135211	-	2097	570	594	669	673	354	1115
g846	contig_11_pilon	135416	146601	+	11186	3262	2261	2218	1617	747	2371
g847	contig_11_pilon	146928	150701	-	3774	465	454	445	310	129	410
g848	contig_11_pilon	150826	154279	+	3454	553	681	761	1070	452	987
g849	contig_11_pilon	154489	158991	-	4503	851	506	539	288	197	592
g850	contig_11_pilon	159096	162059	+	2964	696	439	495	128	70	406
g851	contig_11_pilon	162062	165091	-	3030	177	185	194	75	75	100
g852	contig_11_pilon	165326	165882	+	557	5	2	0	0	0	3
g853	contig_11_pilon	166277	168861	-	2585	454	570	470	850	504	885
g854	contig_11_pilon	176724	178205	-	1482	0	0	0	0	0	0
g855	contig_11_pilon	179016	182745	-	3730	0	0	0	0	0	0
g856	contig_11_pilon	183147	191435	-	8289	246	498	415	72	106	43
g857	contig_11_pilon	191527	195055	-	3529	39	83	62	13	0	10
g858	contig_11_pilon	199600	205048	+	5449	1630	1342	1744	3467	2009	2457
g859	contig_11_pilon	212490	214544	+	2055	6	4	6	193	75	342
g860	contig_11_pilon	218096	220255	-	2160	2	12	10	53	17	30
g861	contig_11_pilon	226835	229755	-	2921	28	20	34	468	164	601
g862	contig_11_pilon	233812	236095	-	2284	0	0	8	140	81	118
g863	contig_11_pilon	237191	251005	-	13815	1070	1772	1503	1363	598	637
g864	contig_11_pilon	251100	251958	+	859	21	8	20	29	23	12
g865	contig_11_pilon	252046	261145	-	9100	1847	1186	1279	639	288	684
g866	contig_11_pilon	261330	264388	+	3059	836	330	435	627	502	522
g867	contig_11_pilon	267060	271692	+	4633	174	227	239	41	30	54
g868	contig_11_pilon	271806	274975	-	3170	959	1464	1279	398	594	1224
g869	contig_11_pilon	275070	283212	+	8143	3965	6195	6280	4585	5353	3775
g870	contig_11_pilon	286402	287885	-	1484	992	2020	2194	783	542	1485
g871	contig_11_pilon	287990	296003	+	8014	2599	2309	2450	3050	1671	3030
g872	contig_11_pilon	296340	298781	+	2442	6	8	8	26	24	55
g873	contig_11_pilon	298789	302145	-	3357	2	20	9	15	4	25
g874	contig_11_pilon	305210	319291	+	14082	875	7913	10286	1219	841	1431
g875	contig_11_pilon	320012	322825	-	2814	892	695	1044	181	135	232
g876	contig_11_pilon	323080	327458	+	4379	1143	1190	1048	172	111	231
g877	contig_11_pilon	327883	339455	-	11573	0	0	0	0	0	0
g878	contig_11_pilon	342350	344475	+	2126	0	0	0	0	0	0
g879	contig_11_pilon	349885	351021	-	1137	38	23	81	19	10	23
g880	contig_11_pilon	351216	354362	+	3147	829	590	1148	402	227	531
g881	contig_11_pilon	354436	361310	+	6875	636	23367	20217	1212	3360	5311
g882	contig_11_pilon	361460	373881	-	12422	16685	8597	9458	45285	106897	60028
g883	contig_11_pilon	375360	377721	-	2362	0	0	0	0	0	0
g884	contig_11_pilon	377936	380152	+	2217	0	0	0	0	0	0
g885	contig_11_pilon	381229	390891	-	9663	0	0	0	0	0	0
g886	contig_11_pilon	394006	394631	-	626	11	12	0	4	0	0
g887	contig_11_pilon	394736	396618	+	1883	5	29	10	0	0	11
g888	contig_11_pilon	396986	397854	+	869	0	10	0	0	0	0
g889	contig_11_pilon	398074	403311	-	5238	863	3845	1468	501	294	396
g890	contig_11_pilon	404897	408161	-	3265	43	139	84	17	20	24
g891	contig_11_pilon	411228	413611	-	2384	0	0	0	0	10	0
g892	contig_11_pilon	414330	423081	-	8752	1628	2208	1853	2496	1510	2740
g893	contig_11_pilon	423196	434940	+	11745	2668	3524	3055	2801	1455	3042
g894	contig_11_pilon	435724	440571	-	4848	0	0	0	0	0	0
g895	contig_11_pilon	441750	442611	-	862	0	0	0	0	0	0
g896	contig_11_pilon	445256	452784	+	7529	0	0	0	0	0	0
g897	contig_11_pilon	455032	456301	-	1270	3	0	0	0	0	11
g898	contig_11_pilon	456396	473731	+	17336	39084	7533	11209	21073	17139	26381
g899	contig_11_pilon	481096	483317	+	2222	630	208	185	2461	3774	2184
g900	contig_11_pilon	484921	486011	-	1091	28	34	19	101	32	114
g901	contig_11_pilon	486226	488892	+	2667	931	815	875	794	425	884
g902	contig_11_pilon	488950	489851	-	902	201	145	235	841	444	639
g903	contig_11_pilon	495160	505781	-	10622	1247	1364	1525	3295	2133	3077
